String-type,Numeric-value-in-file
10th,1
11th,2
12th,3
1st-4th,4
5th-6th,5
7th-8th,6
9th,7
<=50K,8
>50K,9
?,10
Adm-clerical,11
Amer-Indian-Eskimo,12
Armed-Forces,13
Asian-Pac-Islander,14
Assoc-acdm,15
Assoc-voc,16
Bachelors,17
Black,18
Cambodia,19
Canada,20
China,21
Columbia,22
Craft-repair,23
Cuba,24
Divorced,25
Doctorate,26
Dominican-Republic,27
Ecuador,28
El-Salvador,29
England,30
Exec-managerial,31
Farming-fishing,32
Federal-gov,33
Female,34
France,35
Germany,36
Greece,37
Guatemala,38
HS-grad,39
Haiti,40
Handlers-cleaners,41
Holand-Netherlands,42
Honduras,43
Hong,44
Hungary,45
Husband,46
India,47
Iran,48
Ireland,49
Italy,50
Jamaica,51
Japan,52
Laos,53
Local-gov,54
Machine-op-inspct,55
Male,56
Married-AF-spouse,57
Married-civ-spouse,58
Married-spouse-absent,59
Masters,60
Mexico,61
Never-married,62
Never-worked,63
Nicaragua,64
Not-in-family,65
Other,66
Other-relative,67
Other-service,68
Outlying-US(Guam-USVI-etc),69
Own-child,70
Peru,71
Philippines,72
Poland,73
Portugal,74
Preschool,75
Priv-house-serv,76
Private,77
Prof-school,78
Prof-specialty,79
Protective-serv,80
Puerto-Rico,81
Sales,82
Scotland,83
Self-emp-inc,84
Self-emp-not-inc,85
Separated,86
Some-college,87
South,88
State-gov,89
Taiwan,90
Tech-support,91
Thailand,92
Transport-moving,93
Trinadad&Tobago,94
United-States,95
Unmarried,96
Vietnam,97
White,98
Widowed,99
Wife,100
Without-pay,101
Yugoslavia,102
